index;lat;lang;ortname;locationradius;text;texteng;longtext;longtexteng;zeit;gtater;dtater;alttater;gopfer;dopfer;altopfer;altdiff;link;imglink
1;53,045280;8,854230;Habenhausen;150;Ein Typ stand zwischen Autos, filmte uns und holte sich dabei einen runter.;A guy was standing between cars, filming us and jerking off.;Also die Situation war so das der Typ uns gefilmt hat und dabei sich befriedigt hat. Er stand dabei zwischen Autos.. Das war in Bremen, Habenhausen.;So the situation was that the guy filmed us and masturbated. He stood between cars. That happened in Bremen, Habenhausen.;NAN;m;e;NAN;NAN;NAN;NAN;NAN;https://www.instagram.com/p/C0XZF1-LH1H/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/405559082_1071420314094954_7947576948764092089_n.heic?stp=dst-jpg_e35_s1080x1080&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=106&_nc_ohc=52NbfU20MR8AX_GbkH8&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDpFVg52TGvn_LZdetRB3pXTGtw7JvTV3_gGLaZTQn6MA&oe=65C3CC10&_nc_sid=10d13b
2;53,061950;8,868220;Weserwehr;25;Ich, auf dem Rad, musste vorbei - eine Gruppe junger Männer pöbelte mich an, was mir einfällt, ich solle stehen bleiben.;I, on my bike, had to pass by - a group of young men mobbed me, telling me to stop.;Gestern Nacht....Auf dem Heimweg....Kurz vor dem Weserwehr ....eine Gruppe junge Männer... ich musste klingeln...kein platz... erforderte mut... und wurde angepöbelt...was mir einfällt ...bleib stehen...du hast was verloren...und ich....bin schnell weiter. Puls oben...über das weserwehr.... warum Können uns Männer nachts nicht einfach in Ruhe lassen…;"Last night on the way home... Shortly before the Weserwehr [location], a group of young men... Ihad to ring the bell... no space... It required courage and I was bullied what I was thinking. ""wait, you have lost something"" and I moved fast forward over the Weserwehr, with a high pulse. Why can't men just leave us alone at night..";n;m;g;NAN;NAN;NAN;NAN;NAN;https://www.instagram.com/p/CzRp56prhfQ/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/398987876_635011432038580_2421292435347158609_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=zzXKB2rNoD4AX-VqoAE&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAo6dVCFi9kEEJ6bSUFWCmwd4zctrRPqp0krd8HJXvsEQ&oe=65C37852&_nc_sid=10d13b
3;53,104160;8,799980;Bayernstraße;25;Der Beifahrer öffnete das Fenster und machte Leckbewegungen. Ich war so angewidert.;The passenger opened the window and made licking motions. I was so disgusted.;Ich war in der Mittagspause mit meinem Hund spazieren im Gewerbegebiet Bayernstraße, da dort mein Büro ist. Ich war gerade zwei Minuten unterwegs, ist ein Sprinter einer Handwerksfirma an mir vorbei gefahren. Der Beifahrer hatte sein Fenster geöffnet. Als sie an mir vorbei gefahren sind, hat der Beifahrer seine Zunge rausgestreckt und die Hand zum vor den Mund gehalten und mit der Zunge gewackelt. Ich war danach so angewidert und bin wieder zur Arbeit gegangen und habe mit meinen Kolleginnen darüber gesprochen..;In my lunch break I was out walking my dog in the industrial park Bayernstraße [location] because my office is nearby. I was out and about for only two minutes, when a car of a craft company drove past me. The passenger had his window opened. When they drove past me, the passenger stuck out his tongue and held his hand in front of his mouth and wagged his tongue. I was so disgusted after that and went back to work and talked to my colleagues about it....;m;m;g;NAN;NAN;NAN;NAN;NAN;https://www.instagram.com/p/Cygwm7qLi0c/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/392958722_682203457230544_9105760738874805921_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=pdXMGqKh2pcAX8Ek12W&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBnH5LqIVKoYcJ0sVP4XSq7Lt4HeX-1CClId5TQAwB4Zw&oe=65C3B39D&_nc_sid=10d13b
4;53,080840;8,812610;Herdentorsteinweg / Breitenweg;25;"Drei Männer konnten sich ""Oaaah Süße!"" nicht verkneifen.";"Three men couldn't resist saying ""Oaaah sweetie!"".";"War gerade eben auf dem Weg zurück von der Arbeit, als mir an der Ecke Herdentorsteinweg/Breitenweg 3 Junge Männer entgegengekommen sind und sich im Vorbeigehen ein: ""Oaah, Süße..."" nicht verkneifen konnten.";"I was just on the way back from work, when 3 young men approached me at the corner Herdentorsteinweg/Breitenweg and said: ""Oaah, sweetie.."" while passing me.";NAN;m;g;NAN;w;NAN;NAN;NAN;https://www.instagram.com/p/CxI4-r4timY/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/375332612_153227964503780_106141627055619260_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=fx5XN95t0fEAX9T7tKQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDJlJO7HIIIdB0HvxhFV4FN6_CMKjUlkTYNBPDnKN5EJA&oe=65C2B68B&_nc_sid=10d13b
5;53,070810;8,833174;Haltestelle St.-Jürgen-Straße;25;Ein Typ verfolgte uns mehrere hundert Meter. Dabei machte er die ganze Zeit Geräusche, wie wen man eine Katze anlockt.;One guy followed us for several hundred meters. The whole time he was making noises like a cat being lured.;Zwei Freundinnen und ich sind heute Nacht vom Club zurück durchs Viertel gelaufen und ab Haltestelle St. Jürgen Straße ist erst ein Typ sehr nah an uns vorbei gelaufen und hat uns dann für mehrere hundert Meter verfolgt. Wir sind dann ein paar mal abgebogen und er hat sich irgendwann umgedreht und ist zurück gelaufen. Während er uns folgte machte er die ganze Zeit Geräusche wie wenn man eine Katze anlockt. Ich war einfach nur froh das meine Freunde mich begleitet haben weil ich die einzige zu Fuß war.;Tonight two friends of mine and I were walking through Viertel [city district in Bremen] on our way back from the club and from the stop on St.-Jürgen-Straße [tram stop], first there was a guy walking by very close to us and then he followed us for several hundred meters. We turned off a few times and then he turned around at some point and ran back. While he was following us, he was making noises like when you lure a cat the whole time. I was just glad that my friends accompanied me because I was the only one by foot.;n;m;e;NAN;w;NAN;NAN;NAN;https://www.instagram.com/p/CxFnZ6ILVff/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/376806010_1694203457742654_2630241104013930802_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDU3eDEwNTcuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=106&_nc_ohc=VqDL0wVATZUAX-0YCuF&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfB4_Z8G-dyTYfhCEajXiVOe1B_1VECwtLPIDw73LVNArQ&oe=65C328C9&_nc_sid=10d13b
6;53,080445;8,818927;Remberti Kiosk / Haltestelle Rembertistraße;25;"Eine Gruppe fremder Männer, einer zeigte auf mich, lachte abfällig und rief: ""Ey, die da hab ich schon 6-mal gefickt!""";"A group of strange men, one of whom pointed at me, laughed snidely and shouted: ""Hey, I've already fucked that one six times!""";"Vor'm Kiosk Haltestelle Rembertistraße. Von einer Gruppe fremder Männer hat einer auf mich gezeigt und mit abfälligem Lachen gerufen ""ey die da, die hab ich schon 6 mal gefickt""";"In front of the kiosk at the stop Rembertistraße tram stop]. From a group of unknown men, one has pointed at me and called with derogatory laughter ""ey that one over there, I've already fucked her 6 times""";NAN;m;g;NAN;w;NAN;NAN;NAN;https://www.instagram.com/p/Cw7TOv1LRjJ/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/375901488_181098778268224_7218200176070316606_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=yrwxB92WAzYAX80vaTQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfC7SK1-U-0trBBxj0nk0MSVH5qRXw-iViJqgZ8JOrL2RQ&oe=65C25A9C&_nc_sid=10d13b
7;53,076107;8,830103;Fesenfeld;150;"Zwei Männer machten schon von Weitem Katzengeräusche, beim Vorbeizwängen sagte sie: ""Ey, we're gentlemen"" und riefen mir noch ""come on, stay!"" hinterher.";"Two men were already making cat noises from a distance, and as I squeezed past they said: ""Ey, we're gentlemen"" and called after me ""come on, stay!"".";"Gestern sind mir zwei Männer entgegen gekommen und haben von weiterem schon katzengeräusche gemacht und als ich mich an denen vorbeizwang weil die sich so breit gemacht haben haben sie zu mir gesagt ""eyyy we're gentelmen"" und dann haben sie mir hinterhergerufen ""coooome on stay!"" Das war auf dem schmalen Bürgersteig im Fesenfeld";"Yesterday two men came towards me and have already made cat noises from a far and when I forced myself past them because they have spread themselves out so  far, they said to me ""eyyy we're gentelmen"" and then they called after me ""coooome on stay!"" That was on the narrow sidewalk in Fesenfeld [location]";NAN;m;g;NAN;NAN;NAN;NAN;NAN;https://www.instagram.com/p/CwvtVMWrGSe/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/374613050_860503268781065_3671562931849579310_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&_nc_ohc=cB4_0kPJoxEAX9NKWOT&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDdz0lh9UoUcJ9p5sWc1NCymiCvcrhNzjniPvqHTKT7IQ&oe=65C34C80&_nc_sid=10d13b
8;53,075680;8,817840;Salvadore-Allende-Straße;25;"""Ey, guck mal. Wollen wir die vergewaltigen?""";"""Hey, look. Shall we rape her?""";Obwohl es Jahrzehnte her ist, kann ich Folgendes nicht vergessen: Ich ging nachts eine einsame Straße entlang. Zwei junge Männer kamen mir entgegen. Als sie in  Hörweite waren, sagte einer zum anderen: Ey guck mal, wollen wir die vergewaltigen? Es ist weiter 'nichts' passiert. Doch ich werde das nie vergessen. Das war in der Salvadore-Allende-Str.;Although it happened decades ago, I can't forget the following: I was walking down a lonely street at night. Two young men came towards me. When they were within earshot, one said to the other: Ey look, should we rape her? Nothing happened. But I will never forget it. It was on Salvadore-Allende-Street [location].;n;m;g;NAN;w;NAN;NAN;NAN;https://www.instagram.com/p/CwiI4rwtprd/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/371406177_1033868177770477_7647353836378367843_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&_nc_ohc=pUGWvhPVkW0AX-R5wSu&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBAxian1QgWHCpeHoLIoWjlEEk78ePR9A0gdyt-Mq_J6Q&oe=65C33D66&_nc_sid=10d13b
9;53,074790;8,808960;Domsheide;25;In der Bahn: Er hat sich zu uns gesetzt, uns angelächelt & ist uns in die nächste Bahn gefolgt. Er hat uns nicht in Ruhe gelassen.;On the tram: He sat down next to us, smiled at us & followed us onto the next tram. He didn't leave us alone.;Wir waren auf dem Weg zur Waterfront und waren in der Bahn und sind in Richtung Stadt gefahren. Da kam ein Typ der sich zu uns gesetzt hatte und uns die ganze Zeit angeschaut hat und angelächelt hat. Wir haben uns nichts bei gedacht und haben es ignoriert. Wir sind Domsheide ausgestiegen und wollten weiter mit der 3 und mussten dann zu der anderen Haltestelle, wo er dann plötzlich auch war. Er ist aber in die 2 eingestiegen also war das für uns alle schon gegessen. Wir sind ganz normal in die drei eingestiegen und eine Haltestelle später ist er dann ganz plötzlich auch eingestiegen und ist direkt zu uns gekommen. Er hat uns erzählt ja er ist in die falsche Bahn eingestiegen bla bla bla. Er hat die ganze Zeit mit uns geredet, aber wir wollten nicht mit ihm reden und fanden das unangenehm und haben auch nicht richtig geantwortet Wir haben denn augen Kontakt zu anderen gesucht und irgendwann wurde dann ein Mann aufmerksam und ist dann zu uns gekommen und hat gesagt, er solle doch bitte gehen und uns in Ruhe lassen, aber er wollte nicht und hat ihn beleidigt. Hat gefragt, ob er schwul ist und ob die das klären wollen, draußen aus der Bahn. Er ist aber ganz ruhig geblieben und ist nicht mit ihm rausgegangen und der Typ wollte trotzdem nicht gehen. Dann hat sich noch nh andere Frau eingemischt und irgendwann fünf Haltestellen später ist er dann endlich ausgestiegen. Wir haben uns dann bei dem Mann, der uns geholfen hat bedankt, aber trotzdem war das ziemlich gruselig. Ich frag mich die ganze Zeit was wäre passiert, wenn keiner geholfen hätte.;We were on our way to the Waterfront [shopping mall] and were in the tram to the city center. Then a guy came and sat down with us and looked at us the whole time and smiled at us. We didn't think anything about it and ignored it. We got off at Domsheide [tram stop] and wanted to get on to the 3 [tram line], so we had to go to the other stop, where sudden he also was. But he got on to the 2 [tram line], so we thought that it was all over. We got on the 3 as usually and one stop later he suddenly got on and came straight towards us. He told us that he got on the wrong tramway, blah, blah, blah. He talked to us the whole time but we didn't want to talk to him and found it unpleasant and didn't really answer. We have searched for eye contact with others. At some point, a man saw us and came to us. He said that he other man should please go and leave us alone. But he wouldn't and started to insult him. He asked if he was gay and if they wanted to sort it out outside. But he stayed calm and didn't go out with him. The guy still didn't want to go and then another woman interfered. Five stops later the man finally got off. We then thanked the man who helped us. But still, that was pretty creepy. I wonder all the time what would have happened if no one had helped.;NAN;m;e;NAN;w;NAN;NAN;NAN;https://www.instagram.com/p/CwQbPrlrkNP/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/369482715_633128195291695_1766698021476748443_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=xGP8iDHh9foAX8olbGn&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfD5SdjlAi18BT4ck7DEHtRHWorKzFxmd9ObTSl73D7F6w&oe=65C2C40E&_nc_sid=10d13b
10;53,075798;8,807161;Weihnachtsmarkt;25;Auf den Weihnachtsmarkt: Er packte mich an der Schulter. Ich sagte ihm, dass er mich nicht anfassen soll.;At the Christmas market: he grabbed me by the shoulder. I told him not to touch me.;Auf dem Weihnachtsmarkt, ein betrunkener Mann packt mich an der Schulter, ich sage ihm, dass er mich nicht anfassen soll. Er guckt mich an als ob er gar nicht versteht, was das Problem war.;At the Christmas market, a drunk man grabs me by the shoulder, I tell him not to touch me. He looks at me as if he doesnt understand the problem.;nm, a;m;e;NAN;NAN;NAN;NAN;NAN;https://www.instagram.com/p/CwLHij9tfJP/?hl=de;https://scontent.cdninstagram.com/v/t51.2885-15/368171755_326195049758116_5166502057978476229_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=6i-M1cFuZGgAX8imjge&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAxmJbdJK3F5eMsXCvL8PPn6xRJ3QZplhOXa0_I28dvRw&oe=65C31056&_nc_sid=10d13b
